stage,dataset_size,seed,normal_scenario,challenge_threshold,normal_fit_count,attack_fit_count,normal_calibration_count,attack_calibration_count,validation_fpr,validation_sequence_detection,validation_preobjective_detection,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
supervised_sequence_v6,50,46,normal_staggered,0.6586325163669563,3708,272,3504,272,0.0008561643835616438,1.0,1.0,234,1,119,38,0.9957446808510638,0.8602941176470589,0.9230769230769231,0.9913143382352941,0.9965735419758313,0.008333333333333333,0.025,0.0,1.0,1.0,0.9852941176470589,1.0,1.0,120,272,68
hardened_v3_event,50,46,normal_nat_burst,0.5805429354367343,3708,272,3504,272,0.0008561643835616438,1.0,1.0,0,0,120,272,0.0,0.0,0.0,0.9111366421568626,0.9565046841310116,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
supervised_sequence_v6,50,46,normal_nat_burst,0.5805429354367343,3708,272,3504,272,0.0008561643835616438,1.0,1.0,246,0,120,26,1.0,0.9044117647058824,0.9498069498069499,0.9989276960784313,0.9995360475146107,0.0,0.0,0.0,1.0,1.0,0.9558823529411765,1.0,1.0,120,272,68
hardened_v3_event,100,42,normal_staggered,0.4384410071391955,7668,272,7224,272,0.0009689922480620155,1.0,1.0,1,0,240,271,1.0,0.003676470588235294,0.007326007326007326,0.6725413602941177,0.7093922924490093,0.0,0.0,0.0,0.014705882352941176,0.014705882352941176,0.0,5.0,1.0,240,272,68
supervised_sequence_v6,100,42,normal_staggered,0.4384410071391955,7668,272,7224,272,0.0009689922480620155,1.0,1.0,258,3,237,14,0.9885057471264368,0.9485294117647058,0.9681050656660412,0.9956188725490197,0.9968021586064356,0.0125,0.0125,0.0,1.0,1.0,1.0,1.0,1.0,240,272,68
hardened_v3_event,100,42,normal_nat_burst,0.5173577211439219,7668,272,7224,272,0.0009689922480620155,1.0,1.0,0,2,238,272,0.0,0.0,0.0,0.8744561887254902,0.8892051229602517,0.008333333333333333,0.008333333333333333,0.004166666666666667,0.0,0.0,0.0,5.0,1.0,240,272,68
supervised_sequence_v6,100,42,normal_nat_burst,0.5173577211439219,7668,272,7224,272,0.0009689922480620155,1.0,1.0,247,2,238,25,0.9919678714859438,0.9080882352941176,0.948176583493282,0.993688725490196,0.9940867623204226,0.008333333333333333,0.008333333333333333,0.004166666666666667,1.0,1.0,0.9264705882352942,1.0,1.0,240,272,68
hardened_v3_event,100,43,normal_staggered,0.5052412762440603,7668,272,7224,272,0.0009689922480620155,1.0,1.0,0,0,240,272,0.0,0.0,0.0,0.6478477328431371,0.6985638592005983,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
supervised_sequence_v6,100,43,normal_staggered,0.5052412762440603,7668,272,7224,272,0.0009689922480620155,1.0,1.0,243,2,238,29,0.9918367346938776,0.8933823529411765,0.9400386847195358,0.9931219362745097,0.994295155385378,0.008333333333333333,0.008333333333333333,0.0,1.0,1.0,0.9852941176470589,1.0,1.0,240,272,68
hardened_v3_event,100,43,normal_nat_burst,0.5179563215117274,7668,272,7224,272,0.0009689922480620155,1.0,1.0,0,0,240,272,0.0,0.0,0.0,0.8134344362745097,0.8507999832168226,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
