stage,dataset_size,seed,normal_scenario,attack_type,attack_family,expected_action,challenge_recall,policy_success,mean_score
hardened_v3,10,43,normal_staggered,attack_subsystem_lateral,known,challenge,1.0,1.0,0.94
hardened_v3,10,43,normal_staggered,attack_new_passkey,known,challenge,1.0,1.0,0.5933333333333333
hardened_v3,10,43,normal_staggered,attack_permission_change,known,challenge,1.0,1.0,0.765
hardened_v3,10,43,normal_staggered,attack_combined_ato,known,block,1.0,1.0,0.9816666666666669
hardened_v3,10,43,normal_staggered,attack_failed_near_threshold,evasive,challenge,0.9166666666666666,0.9166666666666666,0.4166666666666667
hardened_v3,10,43,normal_staggered,attack_velocity_near_threshold,evasive,challenge,0.9166666666666666,0.9166666666666666,0.33666666666666667
hardened_v3,10,43,normal_staggered,attack_concurrent_near_threshold,evasive,challenge,1.0,1.0,0.8616666666666668
hardened_v3,10,43,normal_staggered,attack_session_exfiltration,evasive,challenge,0.0,0.0,0.26
hardened_v3,10,43,normal_staggered,attack_lateral_known_path,evasive,challenge,1.0,1.0,0.8500000000000001
hardened_v3,10,43,normal_staggered,attack_low_slow_ato,evasive,challenge,1.0,1.0,0.4499999999999999
full_v2,10,43,normal_nat_burst,attack_new_device,known,challenge,1.0,1.0,0.945
full_v2,10,43,normal_nat_burst,attack_new_ua_family,known,challenge,0.8333333333333334,0.8333333333333334,0.6058333333333334
full_v2,10,43,normal_nat_burst,attack_new_os,known,warn,0.0,0.0,0.42291666666666666
full_v2,10,43,normal_nat_burst,attack_off_hours,known,warn,0.0,0.0,0.21166666666666667
full_v2,10,43,normal_nat_burst,attack_failed_spike,known,challenge,1.0,1.0,0.5716666666666667
full_v2,10,43,normal_nat_burst,attack_login_velocity,known,challenge,1.0,1.0,0.5658333333333334
full_v2,10,43,normal_nat_burst,attack_concurrent_sessions,known,challenge,1.0,1.0,0.47875
full_v2,10,43,normal_nat_burst,attack_subsystem_lateral,known,challenge,0.5,0.5,0.54
full_v2,10,43,normal_nat_burst,attack_new_passkey,known,challenge,1.0,1.0,0.6158333333333333
full_v2,10,43,normal_nat_burst,attack_permission_change,known,challenge,1.0,1.0,0.6708333333333334
full_v2,10,43,normal_nat_burst,attack_combined_ato,known,block,1.0,1.0,0.9833333333333333
full_v2,10,43,normal_nat_burst,attack_failed_near_threshold,evasive,challenge,0.0,0.0,0.12666666666666668
full_v2,10,43,normal_nat_burst,attack_velocity_near_threshold,evasive,challenge,0.0,0.0,0.07250000000000001
full_v2,10,43,normal_nat_burst,attack_concurrent_near_threshold,evasive,challenge,0.16666666666666666,0.16666666666666666,0.2966666666666667
full_v2,10,43,normal_nat_burst,attack_session_exfiltration,evasive,challenge,0.0,0.0,0.0775
full_v2,10,43,normal_nat_burst,attack_lateral_known_path,evasive,challenge,0.5833333333333334,0.5833333333333334,0.315
full_v2,10,43,normal_nat_burst,attack_low_slow_ato,evasive,challenge,0.0,0.0,0.2291666666666667
hardened_v3,10,43,normal_nat_burst,attack_new_device,known,challenge,1.0,1.0,0.6916666666666668
hardened_v3,10,43,normal_nat_burst,attack_new_ua_family,known,challenge,1.0,1.0,0.37541666666666673
hardened_v3,10,43,normal_nat_burst,attack_new_os,known,warn,0.0,1.0,0.19000000000000003
hardened_v3,10,43,normal_nat_burst,attack_off_hours,known,warn,0.0,0.5,0.21916666666666665
hardened_v3,10,43,normal_nat_burst,attack_failed_spike,known,challenge,1.0,1.0,0.685
hardened_v3,10,43,normal_nat_burst,attack_login_velocity,known,challenge,1.0,1.0,0.685
hardened_v3,10,43,normal_nat_burst,attack_concurrent_sessions,known,challenge,1.0,1.0,0.5991666666666666
hardened_v3,10,43,normal_nat_burst,attack_subsystem_lateral,known,challenge,1.0,1.0,0.9541666666666666
hardened_v3,10,43,normal_nat_burst,attack_new_passkey,known,challenge,1.0,1.0,0.5966666666666667
hardened_v3,10,43,normal_nat_burst,attack_permission_change,known,challenge,1.0,1.0,0.79
hardened_v3,10,43,normal_nat_burst,attack_combined_ato,known,block,1.0,1.0,0.9816666666666669
hardened_v3,10,43,normal_nat_burst,attack_failed_near_threshold,evasive,challenge,1.0,1.0,0.375
hardened_v3,10,43,normal_nat_burst,attack_velocity_near_threshold,evasive,challenge,1.0,1.0,0.28
hardened_v3,10,43,normal_nat_burst,attack_concurrent_near_threshold,evasive,challenge,1.0,1.0,0.8283333333333335
hardened_v3,10,43,normal_nat_burst,attack_session_exfiltration,evasive,challenge,0.08333333333333333,0.08333333333333333,0.2333333333333333
hardened_v3,10,43,normal_nat_burst,attack_lateral_known_path,evasive,challenge,1.0,1.0,0.8233333333333334
hardened_v3,10,43,normal_nat_burst,attack_low_slow_ato,evasive,challenge,1.0,1.0,0.4599999999999999
full_v2,10,44,normal_staggered,attack_new_device,known,challenge,1.0,1.0,0.9025
full_v2,10,44,normal_staggered,attack_new_ua_family,known,challenge,0.9583333333333334,0.9583333333333334,0.6012500000000002
full_v2,10,44,normal_staggered,attack_new_os,known,warn,0.0,0.0,0.4000000000000001
full_v2,10,44,normal_staggered,attack_off_hours,known,warn,0.0,0.0,0.21
full_v2,10,44,normal_staggered,attack_failed_spike,known,challenge,1.0,1.0,0.5345833333333333
full_v2,10,44,normal_staggered,attack_login_velocity,known,challenge,1.0,1.0,0.52875
full_v2,10,44,normal_staggered,attack_concurrent_sessions,known,challenge,1.0,1.0,0.4479166666666667
full_v2,10,44,normal_staggered,attack_subsystem_lateral,known,challenge,0.5833333333333334,0.5833333333333334,0.5183333333333333
full_v2,10,44,normal_staggered,attack_new_passkey,known,challenge,1.0,1.0,0.595
full_v2,10,44,normal_staggered,attack_permission_change,known,challenge,1.0,1.0,0.6241666666666668
full_v2,10,44,normal_staggered,attack_combined_ato,known,block,1.0,1.0,0.9708333333333333
full_v2,10,44,normal_staggered,attack_failed_near_threshold,evasive,challenge,0.0,0.0,0.2316666666666667
full_v2,10,44,normal_staggered,attack_velocity_near_threshold,evasive,challenge,0.0,0.0,0.1575
full_v2,10,44,normal_staggered,attack_concurrent_near_threshold,evasive,challenge,0.08333333333333333,0.08333333333333333,0.40166666666666667
full_v2,10,44,normal_staggered,attack_session_exfiltration,evasive,challenge,0.0,0.0,0.16083333333333333
full_v2,10,44,normal_staggered,attack_lateral_known_path,evasive,challenge,0.5833333333333334,0.5833333333333334,0.4258333333333333
full_v2,10,44,normal_staggered,attack_low_slow_ato,evasive,challenge,0.0,0.0,0.19499999999999998
hardened_v3,10,44,normal_staggered,attack_new_device,known,challenge,1.0,1.0,0.7004166666666668
hardened_v3,10,44,normal_staggered,attack_new_ua_family,known,challenge,1.0,1.0,0.39250000000000007
hardened_v3,10,44,normal_staggered,attack_new_os,known,warn,0.0,1.0,0.19125000000000003
hardened_v3,10,44,normal_staggered,attack_off_hours,known,warn,0.0,0.5,0.22999999999999998
hardened_v3,10,44,normal_staggered,attack_failed_spike,known,challenge,1.0,1.0,0.6900000000000001
hardened_v3,10,44,normal_staggered,attack_login_velocity,known,challenge,1.0,1.0,0.6900000000000001
hardened_v3,10,44,normal_staggered,attack_concurrent_sessions,known,challenge,1.0,1.0,0.6116666666666667
hardened_v3,10,44,normal_staggered,attack_subsystem_lateral,known,challenge,1.0,1.0,0.9499999999999998
hardened_v3,10,44,normal_staggered,attack_new_passkey,known,challenge,1.0,1.0,0.61875
