stage,dataset_size,seed,normal_scenario,precision,challenge_recall,f1,challenge_fpr,warn_fpr,block_fpr,policy_success,known_policy_success,evasive_challenge_recall,normal_count,attack_count
full_v2,5000,42,normal_nat_burst,0.8973214285714286,0.6442307692307693,0.75,0.0019166666666666666,0.0019166666666666666,0.0,0.7980769230769231,0.9833333333333333,0.18055555555555555,12000,312
hardened_v3,5000,42,normal_nat_burst,0.9198606271777003,0.8461538461538461,0.8814691151919866,0.0019166666666666666,0.0019166666666666666,0.00016666666666666666,1.0,1.0,1.0,12000,312
full_v2,5000,43,normal_staggered,0.9237668161434978,0.6602564102564102,0.7700934579439253,0.0014166666666666668,0.0015,0.0,0.8141025641025641,1.0,0.19444444444444445,12000,312
hardened_v3,5000,43,normal_staggered,0.9395017793594306,0.8461538461538461,0.8903878583473862,0.0014166666666666668,0.0015833333333333333,0.0004166666666666667,1.0,1.0,1.0,12000,312
full_v2,5000,43,normal_nat_burst,0.8995633187772926,0.6602564102564102,0.7615526802218114,0.0019166666666666666,0.0019166666666666666,0.0,0.8141025641025641,1.0,0.19444444444444445,12000,312
hardened_v3,5000,43,normal_nat_burst,0.9198606271777003,0.8461538461538461,0.8814691151919866,0.0019166666666666666,0.0019166666666666666,0.0004166666666666667,1.0,1.0,1.0,12000,312
full_v2,5000,44,normal_staggered,0.9151785714285714,0.657051282051282,0.7649253731343283,0.0015833333333333333,0.0015833333333333333,0.0,0.8108974358974359,0.9958333333333333,0.19444444444444445,12000,312
hardened_v3,5000,44,normal_staggered,0.9328621908127208,0.8461538461538461,0.8873949579831932,0.0015833333333333333,0.0015833333333333333,0.00025,1.0,1.0,1.0,12000,312
full_v2,5000,44,normal_nat_burst,0.9272727272727272,0.6538461538461539,0.7669172932330828,0.0013333333333333333,0.0013333333333333333,0.0,0.8076923076923077,1.0,0.16666666666666666,12000,312
hardened_v3,5000,44,normal_nat_burst,0.9422382671480144,0.8365384615384616,0.8862478777589133,0.0013333333333333333,0.0013333333333333333,0.0005833333333333334,0.9903846153846154,1.0,0.9583333333333334,12000,312
full_v2,5000,45,normal_staggered,0.9099099099099099,0.6474358974358975,0.7565543071161049,0.0016666666666666668,0.00175,0.0,0.8012820512820513,1.0,0.1388888888888889,12000,312
hardened_v3,5000,45,normal_staggered,0.9295774647887324,0.8461538461538461,0.8859060402684563,0.0016666666666666668,0.0018333333333333333,0.0008333333333333334,1.0,1.0,1.0,12000,312
full_v2,5000,45,normal_nat_burst,0.9444444444444444,0.6538461538461539,0.7727272727272727,0.001,0.001,0.0,0.8076923076923077,1.0,0.16666666666666666,12000,312
hardened_v3,5000,45,normal_nat_burst,0.9565217391304348,0.8461538461538461,0.8979591836734695,0.001,0.001,0.00016666666666666666,1.0,1.0,1.0,12000,312
full_v2,5000,46,normal_staggered,0.9324324324324325,0.6634615384615384,0.7752808988764045,0.00125,0.00125,0.0,0.8173076923076923,1.0,0.20833333333333334,12000,312
hardened_v3,5000,46,normal_staggered,0.946236559139785,0.8461538461538461,0.8934010152284263,0.00125,0.0013333333333333333,0.00025,1.0,1.0,1.0,12000,312
full_v2,5000,46,normal_nat_burst,0.9276018099547512,0.657051282051282,0.7692307692307692,0.0013333333333333333,0.0013333333333333333,0.0,0.8108974358974359,1.0,0.18055555555555555,12000,312
hardened_v3,5000,46,normal_nat_burst,0.9428571428571428,0.8461538461538461,0.8918918918918919,0.0013333333333333333,0.0013333333333333333,0.00025,1.0,1.0,1.0,12000,312
