stage,dataset_size,seed,normal_scenario,sequence_fit_count,sequence_calibration_count,warn_threshold,challenge_threshold,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
hardened_v3_event,50,46,normal_nat_burst,324,120,0.590287284917825,0.6446702483745479,0,0,120,272,0.0,0.0,0.0,0.9111366421568626,0.9565046841310116,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
sequence_model_v5,50,46,normal_nat_burst,324,120,0.590287284917825,0.6446702483745479,43,1,119,229,0.9772727272727273,0.15808823529411764,0.2721518987341772,0.8900735294117648,0.9459785652774362,0.008333333333333333,0.016666666666666666,0.0,0.5,0.19117647058823528,0.4264705882352941,4.5,1.0,120,272,68
hardened_v3_event,100,42,normal_staggered,684,240,0.6099453999654932,0.7022969229690548,1,0,240,271,1.0,0.003676470588235294,0.007326007326007326,0.6725413602941177,0.7093922924490093,0.0,0.0,0.0,0.014705882352941176,0.014705882352941176,0.0,5.0,1.0,240,272,68
sequence_model_v5,100,42,normal_staggered,684,240,0.6099453999654932,0.7022969229690548,13,0,240,259,1.0,0.04779411764705882,0.09122807017543859,0.7851332720588234,0.8162205237893532,0.0,0.0125,0.0,0.19117647058823528,0.014705882352941176,0.17647058823529413,5.0,1.0,240,272,68
hardened_v3_event,100,42,normal_nat_burst,684,240,0.6181666176027198,0.6882109626941628,0,2,238,272,0.0,0.0,0.0,0.8744561887254902,0.8892051229602517,0.008333333333333333,0.008333333333333333,0.004166666666666667,0.0,0.0,0.0,5.0,1.0,240,272,68
sequence_model_v5,100,42,normal_nat_burst,684,240,0.6181666176027198,0.6882109626941628,25,3,237,247,0.8928571428571429,0.09191176470588236,0.16666666666666669,0.8511182598039216,0.840743788898678,0.0125,0.025,0.004166666666666667,0.3088235294117647,0.11764705882352941,0.25,5.0,1.0,240,272,68
hardened_v3_event,100,43,normal_staggered,684,240,0.6833873613953669,0.7563203528449411,0,0,240,272,0.0,0.0,0.0,0.6478477328431371,0.6985638592005983,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
sequence_model_v5,100,43,normal_staggered,684,240,0.6833873613953669,0.7563203528449411,7,0,240,265,1.0,0.025735294117647058,0.05017921146953405,0.7659620098039215,0.7989689419330679,0.0,0.0,0.0,0.10294117647058823,0.0,0.10294117647058823,5.0,1.0,240,272,68
hardened_v3_event,100,43,normal_nat_burst,684,240,0.6104057103405629,0.6727353160447052,0,0,240,272,0.0,0.0,0.0,0.8134344362745097,0.8507999832168226,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,5.0,1.0,240,272,68
sequence_model_v5,100,43,normal_nat_burst,684,240,0.6104057103405629,0.6727353160447052,12,0,240,260,1.0,0.04411764705882353,0.08450704225352113,0.8736366421568629,0.8950726803443455,0.0,0.020833333333333332,0.0,0.17647058823529413,0.0,0.17647058823529413,5.0,1.0,240,272,68
