stage,dataset_size,seed,normal_scenario,attack_type,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,attack_phase_count,attack_sequence_count
disjoint_hybrid_v8,10,44,normal_staggered,profile_poisoning_chain,56,0,0,0,4,1.0,0.9333333333333333,0.9655172413793104,0.0,0.0,1.0,1.0,1.0,1.0,60,12
disjoint_hybrid_v8,10,44,normal_staggered,cookie_hijack_blend,45,0,0,0,15,1.0,0.75,0.8571428571428571,0.0,0.0,1.0,1.0,0.8333333333333334,1.0,60,12
disjoint_hybrid_v8,10,44,normal_staggered,distributed_password_spray,38,0,0,0,22,1.0,0.6333333333333333,0.7755102040816326,0.0,0.0,1.0,0.8333333333333334,0.9166666666666666,2.0,60,12
temporal_mlp_only_v8,10,44,normal_nat_burst,stealth_mimicry_ato,51,0,0,0,9,1.0,0.85,0.9189189189189189,0.0,0.0,1.0,1.0,0.9166666666666666,1.0,60,12
temporal_mlp_only_v8,10,44,normal_nat_burst,slow_credential_probe,35,0,0,0,25,1.0,0.5833333333333334,0.7368421052631579,0.0,0.0,1.0,0.9166666666666666,0.75,2.0,60,12
temporal_mlp_only_v8,10,44,normal_nat_burst,session_replay_jitter,41,0,0,0,19,1.0,0.6833333333333333,0.8118811881188119,0.0,0.0,1.0,1.0,0.9166666666666666,1.5,60,12
temporal_mlp_only_v8,10,44,normal_nat_burst,gradual_exfiltration,47,0,0,0,13,1.0,0.7833333333333333,0.8785046728971964,0.0,0.0,1.0,1.0,0.9166666666666666,1.0,60,12
temporal_mlp_only_v8,10,44,normal_nat_burst,distributed_lateral_drift,37,0,0,0,3,1.0,0.925,0.961038961038961,0.0,0.0,1.0,1.0,1.0,1.0,40,8
temporal_mlp_only_v8,10,44,normal_nat_burst,profile_poisoning_chain,55,0,0,0,5,1.0,0.9166666666666666,0.9565217391304348,0.0,0.0,1.0,1.0,1.0,1.0,60,12
temporal_mlp_only_v8,10,44,normal_nat_burst,cookie_hijack_blend,45,0,0,0,15,1.0,0.75,0.8571428571428571,0.0,0.0,1.0,1.0,0.8333333333333334,1.0,60,12
temporal_mlp_only_v8,10,44,normal_nat_burst,distributed_password_spray,34,0,0,0,26,1.0,0.5666666666666667,0.7234042553191489,0.0,0.0,0.9166666666666666,0.8333333333333334,0.75,2.0,60,12
disjoint_hybrid_v8,10,44,normal_nat_burst,stealth_mimicry_ato,54,0,0,0,6,1.0,0.9,0.9473684210526316,0.0,0.0,1.0,1.0,0.9166666666666666,1.0,60,12
disjoint_hybrid_v8,10,44,normal_nat_burst,slow_credential_probe,40,0,0,0,20,1.0,0.6666666666666666,0.8,0.0,0.0,1.0,0.9166666666666666,0.8333333333333334,2.0,60,12
disjoint_hybrid_v8,10,44,normal_nat_burst,session_replay_jitter,45,0,0,0,15,1.0,0.75,0.8571428571428571,0.0,0.0,1.0,1.0,0.9166666666666666,1.0,60,12
disjoint_hybrid_v8,10,44,normal_nat_burst,gradual_exfiltration,50,0,0,0,10,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,1.0,1.0,0.9166666666666666,1.0,60,12
disjoint_hybrid_v8,10,44,normal_nat_burst,distributed_lateral_drift,37,0,0,0,3,1.0,0.925,0.961038961038961,0.0,0.0,1.0,1.0,1.0,1.0,40,8
disjoint_hybrid_v8,10,44,normal_nat_burst,profile_poisoning_chain,56,0,0,0,4,1.0,0.9333333333333333,0.9655172413793104,0.0,0.0,1.0,1.0,1.0,1.0,60,12
disjoint_hybrid_v8,10,44,normal_nat_burst,cookie_hijack_blend,50,0,0,0,10,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,1.0,1.0,0.9166666666666666,1.0,60,12
disjoint_hybrid_v8,10,44,normal_nat_burst,distributed_password_spray,39,0,0,0,21,1.0,0.65,0.787878787878788,0.0,0.0,0.9166666666666666,0.8333333333333334,0.8333333333333334,2.0,60,12
temporal_mlp_only_v8,10,45,normal_staggered,stealth_mimicry_ato,52,0,0,0,8,1.0,0.8666666666666667,0.9285714285714286,0.0,0.0,1.0,1.0,1.0,1.0,60,12
temporal_mlp_only_v8,10,45,normal_staggered,slow_credential_probe,30,0,0,0,30,1.0,0.5,0.6666666666666666,0.0,0.0,1.0,0.8333333333333334,1.0,3.5,60,12
temporal_mlp_only_v8,10,45,normal_staggered,session_replay_jitter,39,0,0,0,21,1.0,0.65,0.787878787878788,0.0,0.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,1.0,60,12
