stage,dataset_size,seed,normal_scenario,challenge_threshold,warn_threshold,epochs_trained,validation_loss,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr_total,unexpected_challenge_fpr,warn_or_higher_rate_total,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,normal_count,attack_phase_count,attack_sequence_count
temporal_mlp_only_v8,50,43,normal_nat_burst,0.9690598171100457,0.8504676843658376,85,0.036206760164385274,414,0,0,120,46,1.0,0.9,0.9473684210526316,0.9990579710144928,0.999749144495963,0.0,0.0,0.016666666666666666,1.0,1.0,0.9891304347826086,1.0,120,460,92
disjoint_hybrid_v8,50,43,normal_nat_burst,0.9690598171100457,0.8504676843658376,85,0.036206760164385274,420,0,20,100,40,1.0,0.9130434782608695,0.9545454545454545,0.9990579710144928,0.999749144495963,0.16666666666666666,0.0,0.19166666666666668,1.0,1.0,1.0,1.0,120,460,92
temporal_mlp_only_v8,50,44,normal_staggered,0.9983683849820143,0.7885304220386526,120,0.0316559898922889,299,1,1,119,161,0.9966666666666667,0.65,0.7868421052631579,0.9955797101449275,0.9986587773967928,0.008333333333333333,0.008333333333333333,0.041666666666666664,1.0,0.9130434782608695,0.9239130434782609,2.0,120,460,92
disjoint_hybrid_v8,50,44,normal_staggered,0.9983683849820143,0.7885304220386526,120,0.0316559898922889,333,1,21,99,127,0.9970059880239521,0.7239130434782609,0.8387909319899244,0.9955797101449275,0.9986587773967928,0.175,0.01,0.20833333333333334,1.0,0.9347826086956522,0.9565217391304348,2.0,120,460,92
temporal_mlp_only_v8,50,44,normal_nat_burst,0.9983683849820143,0.7885304220386526,120,0.0316559898922889,318,0,0,120,142,1.0,0.691304347826087,0.8174807197943444,0.9959782608695653,0.9988188660649218,0.0,0.0,0.025,0.967391304347826,0.9239130434782609,0.8260869565217391,1.0,120,460,92
disjoint_hybrid_v8,50,44,normal_nat_burst,0.9983683849820143,0.7885304220386526,120,0.0316559898922889,330,0,20,100,130,1.0,0.717391304347826,0.8354430379746834,0.9959782608695653,0.9988188660649218,0.16666666666666666,0.0,0.18333333333333332,0.967391304347826,0.9239130434782609,0.8586956521739131,1.0,120,460,92
temporal_mlp_only_v8,50,45,normal_staggered,0.994739300548836,0.958618742357311,97,0.05228856607922386,325,1,1,119,135,0.9969325153374233,0.7065217391304348,0.8269720101781171,0.9966847826086956,0.9989705656630279,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.9782608695652174,0.9456521739130435,0.9239130434782609,1.5,120,460,92
disjoint_hybrid_v8,50,45,normal_staggered,0.994739300548836,0.958618742357311,97,0.05228856607922386,340,1,21,99,120,0.9970674486803519,0.7391304347826086,0.8489388264669163,0.9966847826086956,0.9989705656630279,0.175,0.01,0.2,0.9782608695652174,0.9456521739130435,0.9239130434782609,1.0,120,460,92
temporal_mlp_only_v8,50,45,normal_nat_burst,0.994739300548836,0.958618742357311,97,0.05228856607922386,339,1,1,119,121,0.9970588235294118,0.7369565217391304,0.8475,0.9929710144927536,0.9978707827370298,0.008333333333333333,0.008333333333333333,0.05,0.9782608695652174,0.9565217391304348,0.9021739130434783,1.0,120,460,92
disjoint_hybrid_v8,50,45,normal_nat_burst,0.994739300548836,0.958618742357311,97,0.05228856607922386,365,1,21,99,95,0.9972677595628415,0.7934782608695652,0.883777239709443,0.9929710144927536,0.9978707827370298,0.175,0.01,0.225,1.0,0.9782608695652174,0.9347826086956522,1.0,120,460,92
