stage,normal_scenario,attack_type,phase_index,dataset_size,seed,challenge_recall,mean_score,mean_mimicry_distance
sequence_v4,normal_staggered,profile_poisoning_chain,1,1110.0,44.0,0.0,0.2911727847222222,0.2772907359648116
sequence_v4,normal_staggered,profile_poisoning_chain,2,1110.0,44.0,0.0,0.45997234905786333,0.31143615582073075
sequence_v4,normal_staggered,profile_poisoning_chain,3,1110.0,44.0,0.09722222222222222,0.5714936832265862,0.3510616172839845
sequence_v4,normal_staggered,profile_poisoning_chain,4,1110.0,44.0,0.26666666666666666,0.7182148901499358,0.39711438759764184
sequence_v4,normal_staggered,session_replay_chain,1,1110.0,44.0,0.0,0.24281851388888892,0.27256164050717613
sequence_v4,normal_staggered,session_replay_chain,2,1110.0,44.0,0.0,0.4409479461178246,0.30905368811262945
sequence_v4,normal_staggered,session_replay_chain,3,1110.0,44.0,0.26666666666666666,0.6832901021593777,0.35084631707201447
sequence_v4,normal_staggered,session_replay_chain,4,1110.0,44.0,0.7722222222222223,0.9008965106499506,0.39825840735591217
sequence_v4,normal_staggered,slow_credential_probe,1,1110.0,44.0,0.0,0.3844616736111111,0.281852251356301
sequence_v4,normal_staggered,slow_credential_probe,2,1110.0,44.0,0.0,0.44321343543170016,0.2805067232572354
sequence_v4,normal_staggered,slow_credential_probe,3,1110.0,44.0,0.01111111111111111,0.5159480630216284,0.3208916279848926
sequence_v4,normal_staggered,slow_credential_probe,4,1110.0,44.0,0.01111111111111111,0.5375202172862252,0.40989968888182937
sequence_v4,normal_staggered,stealth_mimicry_ato,1,1110.0,44.0,0.0,0.25494000000000006,0.2615176373965112
sequence_v4,normal_staggered,stealth_mimicry_ato,2,1110.0,44.0,0.0,0.2603564923406439,0.27715812639113896
sequence_v4,normal_staggered,stealth_mimicry_ato,3,1110.0,44.0,0.0,0.3595687594602717,0.3131102735247196
sequence_v4,normal_staggered,stealth_mimicry_ato,4,1110.0,44.0,0.005555555555555555,0.44485505788349616,0.3478023964668671
