stage,dataset_size,seed,normal_scenario,event_challenge_recall,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,challenge_fpr,warn_fpr,mean_attack_mimicry_distance,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
sequence_v4,5000,42,normal_staggered,0.04411764705882353,0.11764705882352941,0.058823529411764705,0.11764705882352941,5.0,0.075,0.0755,0.2988802145164109,1.0,12000,272,68
hardened_v3_event,5000,42,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0019166666666666666,0.0019166666666666666,0.30962429988529777,1.0,12000,272,68
sequence_v4,5000,42,normal_nat_burst,0.11029411764705882,0.2647058823529412,0.17647058823529413,0.23529411764705882,5.0,0.11658333333333333,0.11658333333333333,0.30962429988529777,1.0,12000,272,68
hardened_v3_event,5000,43,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0014166666666666668,0.0015833333333333333,0.3119250982531334,1.0,12000,272,68
sequence_v4,5000,43,normal_staggered,0.07720588235294118,0.22058823529411764,0.08823529411764706,0.22058823529411764,5.0,0.08025,0.08033333333333334,0.3119250982531334,1.0,12000,272,68
hardened_v3_event,5000,43,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0019166666666666666,0.0019166666666666666,0.30598713719770537,1.0,12000,272,68
sequence_v4,5000,43,normal_nat_burst,0.11029411764705882,0.27941176470588236,0.14705882352941177,0.2647058823529412,5.0,0.11058333333333334,0.11058333333333334,0.30598713719770537,1.0,12000,272,68
hardened_v3_event,5000,44,normal_staggered,0.007352941176470588,0.029411764705882353,0.014705882352941176,0.014705882352941176,5.0,0.0015833333333333333,0.0015833333333333333,0.31124791333337426,1.0,12000,272,68
sequence_v4,5000,44,normal_staggered,0.09558823529411764,0.2647058823529412,0.14705882352941177,0.23529411764705882,5.0,0.07891666666666666,0.07891666666666666,0.31124791333337426,1.0,12000,272,68
hardened_v3_event,5000,44,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0013333333333333333,0.0013333333333333333,0.30359267352892294,1.0,12000,272,68
sequence_v4,5000,44,normal_nat_burst,0.10294117647058823,0.29411764705882354,0.1323529411764706,0.27941176470588236,5.0,0.13425,0.13425,0.30359267352892294,1.0,12000,272,68
hardened_v3_event,5000,45,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0016666666666666668,0.0018333333333333333,0.3042299014236855,1.0,12000,272,68
sequence_v4,5000,45,normal_staggered,0.06985294117647059,0.17647058823529413,0.10294117647058823,0.17647058823529413,5.0,0.052,0.052083333333333336,0.3042299014236855,1.0,12000,272,68
hardened_v3_event,5000,45,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.001,0.001,0.30537909823717924,1.0,12000,272,68
sequence_v4,5000,45,normal_nat_burst,0.11764705882352941,0.29411764705882354,0.16176470588235295,0.27941176470588236,5.0,0.13125,0.13125,0.30537909823717924,1.0,12000,272,68
hardened_v3_event,5000,46,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.00125,0.0013333333333333333,0.31273876948017487,1.0,12000,272,68
sequence_v4,5000,46,normal_staggered,0.09191176470588236,0.23529411764705882,0.1323529411764706,0.23529411764705882,5.0,0.07966666666666666,0.07975,0.31273876948017487,1.0,12000,272,68
hardened_v3_event,5000,46,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0013333333333333333,0.0013333333333333333,0.30413201016560276,1.0,12000,272,68
sequence_v4,5000,46,normal_nat_burst,0.08455882352941177,0.22058823529411764,0.1323529411764706,0.20588235294117646,5.0,0.11425,0.11425,0.30413201016560276,1.0,12000,272,68
